No.,G_N2,G_CO2,G_H2S,G_C1,G_C2,G_C3,G_C4,G_C5,G_C6,G_C7+,TR (℃),O_N2,O_CO2,O_C1,O_C2,O_C3,O_C4,O_C5,O_C6,O_C7+,MWC7+ (g/mol),EM,MMP (MPa),
101,80.1,11.083,0,0,4.143,2.663,1.331,0.533,0.136,0.011,115.6,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,40.78,
102,66.75,11.2075,0,0,10.3575,6.6575,3.3275,1.3325,0.34,0.0275,82.2,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,36.65,
103,66.75,11.2075,0,0,10.3575,6.6575,3.3275,1.3325,0.34,0.0275,115.6,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,38.54,
104,4.3,30,0,45.7,20,0,0,0,0,0,84.4,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,34.37,
105,4.3,30,0,45.7,20,0,0,0,0,0,115.6,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,35.87,
106,4.3,30,0,45.7,20,0,0,0,0,0,82.2,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,27.51,
107,4.3,30,0,45.7,20,0,0,0,0,0,115.6,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,30.61,
108,0,75,0,0,6,16.25,2.75,0,0,0,82.2,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,17.42,
109,0,75,0,0,6,16.25,2.75,0,0,0,115.6,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,20.24,
110,0,75,0,0,6,16.25,2.75,0,0,0,82.2,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,16.91,
111,0,75,0,0,6,16.25,2.75,0,0,0,115.6,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,18.86,
112,0,75,25,0,0,0,0,0,0,0,82.2,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,21.2,
113,0,75,25,0,0,0,0,0,0,0,115.6,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,23.82,
114,0,75,25,0,0,0,0,0,0,0,82.2,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,21.13,
115,0,75,25,0,0,0,0,0,0,0,115.6,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,23.37,
116,0,77.9575,0,0,10.3575,6.6575,3.3275,1.3325,0.34,0.0275,82.2,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,16.31,
117,0,77.9575,0,0,10.3575,6.6575,3.3275,1.3325,0.34,0.0275,115.6,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,21.89,
118,0,77.9575,0,0,10.3575,6.6575,3.3275,1.3325,0.34,0.0275,82.2,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,18.03,
119,0,77.9575,0,0,10.3575,6.6575,3.3275,1.3325,0.34,0.0275,115.6,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,21.68,
120,0,90,0,0,2.4,6.5,1.1,0,0,0,82.2,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,17.86,
121,0,90,0,0,2.4,6.5,1.1,0,0,0,115.6,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,23.72,
122,0,90,0,0,2.4,6.5,1.1,0,0,0,82.2,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,16.65,
123,0,90,0,0,2.4,6.5,1.1,0,0,0,115.6,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,21.3,
124,0,90,10,0,0,0,0,0,0,0,82.2,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,22.74,
125,0,90,10,0,0,0,0,0,0,0,115.6,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,25.79,
126,0,90,10,0,0,0,0,0,0,0,82.2,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,22.37,
127,0,90,10,0,0,0,0,0,0,0,115.6,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,24.03,
128,0,91.183,0,0,4.143,2.663,1.331,0.533,0.136,0.011,82.2,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,19.34,
129,0,91.183,0,0,4.143,2.663,1.331,0.533,0.136,0.011,115.6,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,24.06,
130,0,91.183,0,0,4.143,2.663,1.331,0.533,0.136,0.011,82.2,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,19.06,
131,0,91.183,0,0,4.143,2.663,1.331,0.533,0.136,0.011,115.6,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,22.75,
132,0,100,0,0,0,0,0,0,0,0,82.2,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,21.99,
133,0,100,0,0,0,0,0,0,0,0,115.6,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,25.55,
134,0,100,0,0,0,0,0,0,0,0,82.2,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,21.34,
135,0,100,0,0,0,0,0,0,0,0,115.6,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,25.3,
136,0,93.21,0,6.79,0,0,0,0,0,0,85.65,0.166,0.166,17.195,5.892,4.528,2.333,1.703,0.206,67.811,282,0,25.79,
137,0,100,0,0,0,0,0,0,0,0,85.65,0.166,0.166,17.195,5.892,4.528,2.333,1.703,0.206,67.811,282,0,20.61,
138,0.47,2.25,0,85.34,7.62,2.98,1.01,0.33,0,0,100.6,0.67,0.86,6.63,46.83,6.21,4.25,3.13,2.48,28.94,217.29,0,37.6,
139,0,4.35,0,81.14,10.31,3.32,0.88,0,0,0,120,0,2.13,31.28,7.51,6.93,6.26,4.74,4.37,36.78,201.48,0,33.5,
140,0,4.35,0,81.14,10.31,3.32,0.88,0,0,0,120,0.083,1.824,32.165,7.627,7.221,6.507,5.018,4.085,35.47,208.07,0,29.6,
141,0.48,4.96,0,58.05,17.09,11.97,4.96,1.66,0.53,0.3,101.7,0.18,0.82,22.92,7.21,7.37,6.81,5.85,4.84,44,257.72,0,26.25,
142,0.48,4.96,0,58.05,17.09,11.97,4.96,1.66,0.53,0.3,98.9,0.2,1.34,23.64,8.56,6.68,5.3,4.45,4.03,45.8,254.44,0,22.1,
143,0.47,2.25,0,85.34,7.62,2.98,1.01,0.33,0,0,100.6,0.67,0.86,6.63,46.83,6.21,4.25,3.13,2.48,28.94,217.29,0,23.5,
144,0.19,87.38,0,7.67,0,0,0,4.76,0,0,60,0.73,15.57,23.95,8.71,8.63,6.46,3.09,3.7,29.16,153.9,1,12.71,
